,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
156,Yuzvendra Chahal,Bowler,65000000,Indian,0.32018102975613877,0.32018102975613877
157,Suresh Raina,Batsman,20000000,Indian,0.21991780870110159,0.21991780870110159
158,Shakib Al Hasan,All-Rounder,20000000,Overseas,0.35012258955486936,0.35012258955486936
159,Imran Tahir,Bowler,20000000,Overseas,0.3711603307886215,0.3711603307886215
160,Adam Zampa,Bowler,20000000,Overseas,0.5467005040993141,0.5467005040993141
161,Amit Mishra,Bowler,15000000,Indian,0.35874803058757976,0.35874803058757976
162,Aaron Finch,Batsman,15000000,Overseas,0.07063768468452764,0.07063768468452764
163,Dawid Malan,Batsman,15000000,Overseas,0.0,0.0
164,Ishant Sharma,Bowler,15000000,Indian,0.2765695559318512,0.2765695559318512
165,Chris Lynn,Batsman,15000000,Overseas,0.0,0.0
166,Usman Khawaja,Batsman,15000000,Overseas,0.0,0.0
167,Kane Richardson,Bowler,15000000,Overseas,0.5617279988661403,0.5617279988661403
168,Colin Munro,All-Rounder,15000000,Overseas,0.0,0.0
169,Piyush Chawla,Bowler,10000000,Indian,0.3713638128331844,0.3713638128331844
170,Tabraiz Shamsi,Bowler,10000000,Overseas,0.10784283678385492,0.10784283678385492
171,Andrew Tye,Bowler,10000000,Overseas,0.6118608815547535,0.6118608815547535
172,Rilee Rossouw,Batsman,10000000,Overseas,0.0,0.0
173,Moises Henriques,All-Rounder,10000000,Overseas,0.33077517084653196,0.33077517084653196
174,James Faulkner,All-Rounder,10000000,Overseas,0.24699942132454025,0.24699942132454025
175,Sheldon Cottrell,Bowler,7500000,Overseas,1.0,1.0
176,Martin Guptill,Batsman,7500000,Overseas,0.0,0.0
177,Ben Cutting,All-Rounder,7500000,Overseas,0.141686282985379,0.141686282985379
178,Scott Kuggeleijn,All-Rounder,7500000,Overseas,0.21232069401544645,0.21232069401544645
179,Carlos Brathwaite,All-Rounder,7500000,Overseas,0.6840413294705434,0.6840413294705434
180,Keemo Paul,All-Rounder,7500000,Overseas,0.3472148654131624,0.3472148654131624
181,Billy Stanlake,Bowler,7500000,Overseas,0.3915158311362728,0.3915158311362728
182,Saurabh Tiwary,Batsman,5000000,Indian,0.0,0.0
183,Ish Sodhi,Bowler,5000000,Overseas,0.565415577653527,0.565415577653527
184,George Garton,All-Rounder,5000000,Overseas,0.12085687642696305,0.12085687642696305
185,Rahmanullah Gurbaz,Wicket Keeper,5000000,Overseas,0.0,0.0
186,Shai Hope,Wicket Keeper,5000000,Overseas,0.0,0.0
187,Heinrich Klaasen,Wicket Keeper,5000000,Overseas,0.0,0.0
188,Sandeep Warrier,Bowler,5000000,Indian,0.5241924422789672,0.5241924422789672
189,Zahir Khan,Bowler,5000000,Overseas,0.27529682922245885,0.27529682922245885
190,Keshav Maharaj,Bowler,5000000,Overseas,0.4453720736784755,0.4453720736784755
191,Hanuma Vihari,Batsman,5000000,Indian,0.5013350892376595,0.5013350892376595
192,Akeal Hosein,All-Rounder,5000000,Overseas,0.08793147909061241,0.08793147909061241
193,Pawan Negi,All-Rounder,5000000,Indian,0.3938314297532481,0.3938314297532481
