,Player,Role,Amount,Player Origin
374,Jofra Archer,All-Rounder,80000000,Overseas
375,Johan Botha,All-Rounder,33750000,Overseas
377,John Hastings,Bowler,13000000,Overseas
379,Jonny Bairstow,Wicket Keeper,67500000,Overseas
381,Jos Buttler,Wicket Keeper,44000000,Overseas
384,Josh Hazlewood,Bowler,77500000,Overseas
385,Josh Philippe,Wicket Keeper,2000000,Overseas
386,Rusty Theron,Bowler,3000000,Overseas
389,Bhagath Varma,All-Rounder,2000000,Indian
391,KC Cariappa,Bowler,3000000,Indian
393,KC Cariappa,Bowler,8000000,Indian
394,KK Jiyas,Bowler,1000000,Indian
395,KM Asif,Bowler,2000000,Indian
396,Srikar Bharat,Wicket Keeper,20000000,Indian
433,KL Rahul,Batsman,110000000,Indian
399,Kagiso Rabada,Bowler,92500000,Overseas
401,Kamlesh Nagarkoti,All-Rounder,11000000,Indian
405,Kane Richardson,Bowler,40000000,Overseas
407,Kane Williamson,Batsman,30000000,Overseas
408,Kanishk Seth,All-Rounder,2000000,Indian
409,Karn Sharma,All-Rounder,2000000,Indian
410,Karanveer Singh,All-Rounder,1000000,Indian
414,Karan Sharma,Bowler,5000000,Indian
416,Kartik Tyagi,Bowler,40000000,Indian
421,Karun Nair,Batsman,14000000,Indian
424,Kedar Jadhav,All-Rounder,20000000,Indian
425,Keemo Paul,All-Rounder,5000000,Overseas
428,Kevin Pietersen,Batsman,35000000,Overseas
429,Kevon Cooper,All-Rounder,3000000,Overseas
430,Kieron Pollard,All-Rounder,54000000,Overseas
431,Kishore Kamath,All-Rounder,14000000,Indian
435,Srikar Bharat,Wicket Keeper,2000000,Indian
387,Krishnappa Gowtham,All-Rounder,9000000,Indian
439,Krishmar Santokie,Bowler,3000000,Overseas
442,Krunal Pandya,All-Rounder,82500000,Indian
443,Kshitiz Sharma,All-Rounder,2000000,Indian
444,Kuldeep Sen,Bowler,2000000,Indian
447,Kuldeep Yadav,Bowler,20000000,Indian
449,Kuldeep Yadav,Bowler,2000000,Indian
451,Kulwant Khejroliya,Bowler,8500000,Indian
452,Kusal Perera,Wicket Keeper,1500000,Indian
454,Kyle Abbott,Bowler,21000000,Overseas
455,Kyle Jamieson,All-Rounder,150000000,Overseas
456,Kyle Mayers,All-Rounder,5000000,Overseas
457,Lakshmipathy Balaji,Bowler,18000000,Indian
459,Lalit Yadav,All-Rounder,6500000,Indian
460,Lasith Malinga,Bowler,20000000,Overseas
462,Laxmi Shukla,All-Rounder,3000000,Indian
465,Liam Livingstone,All-Rounder,115000000,Overseas
468,Lockie Ferguson,Bowler,100000000,Overseas
469,Luke Pomersbach,Batsman,22500000,Overseas
470,Lukman Hussain Meriwala,Bowler,2000000,Indian
472,Lungi Ngidi,Bowler,5000000,Overseas
473,Luvnith Sisodia,Wicket Keeper,2000000,Indian
475,Manimaran Siddharth,Bowler,2000000,Indian
479,Murugan Ashwin,Bowler,2000000,Indian
480,Harishankar Reddy,Bowler,2000000,Indian
482,Maheesh Theekshana,Bowler,7000000,Overseas
485,Mahipal Lomror,All-Rounder,9500000,Indian
486,Ajay Sharma,All-Rounder,1000000,Indian
489,Manan Vohra,Batsman,2000000,Indian
490,Mandeep Hardev Singh,All-Rounder,8000000,Indian
492,Mandeep Singh,Batsman,11000000,Indian
495,Manish Pandey,Batsman,46000000,Indian
496,Manjot Kalra,Batsman,2000000,Indian
499,Manoj Tiwary,Batsman,10000000,Indian
501,Manpreet Gony,Bowler,6000000,Indian
502,Manprit Juneja,Batsman,1000000,Indian
503,Manvinder Bisla,Wicket Keeper,6000000,Indian
504,Manzoor Dar,All-Rounder,2000000,Indian
505,Marchant de Lange,Bowler,3000000,Overseas
507,Marco Jansen,All-Rounder,42000000,Overseas
511,Marcus Stoinis,All-Rounder,48000000,Overseas
513,Mark Wood,Bowler,75000000,Overseas
515,Martin Guptill,Batsman,10000000,Overseas
517,Matt Henry,Bowler,5000000,Overseas
518,Matthew Wade,Wicket Keeper,24000000,Overseas
520,Mayank Agarwal,Batsman,10000000,Indian
521,Mayank Dagar,All-Rounder,2000000,Indian
523,Mayank Markande,Bowler,6500000,Indian
524,Mayank Yadav,Bowler,2000000,Indian
525,Michael Clarke,Batsman,30000000,Overseas
527,Michael Hussey,Batsman,15000000,Overseas
528,Sudhesan Midhun,All-Rounder,2000000,Indian
530,Milind Kumar,All-Rounder,2000000,Indian
531,Milind Tandon,All-Rounder,1000000,Indian
534,Mitchell Johnson,Bowler,20000000,Overseas
537,Mitchell Marsh,All-Rounder,65000000,Overseas
538,Mitchell McClenaghan,Bowler,3000000,Overseas
540,Mitchell Santner,All-Rounder,19000000,Overseas
542,Mitchell Starc,Bowler,94000000,Overseas
543,Mithun Manhas,All-Rounder,3000000,Indian
545,Moeen Ali,All-Rounder,70000000,Overseas
548,Mohammad Nabi,All-Rounder,10000000,Overseas
552,Mohammed Shami,Bowler,62500000,Indian
553,Mohammed Azharuddeen,Wicket Keeper,2000000,Indian
555,Mohammed Siraj,Bowler,26000000,Indian
556,Arshad Khan,All-Rounder,2000000,Indian
561,Mohit Sharma,Bowler,5000000,Indian
564,Mohsin Khan,Bowler,2000000,Indian
568,Moises Henriques,All-Rounder,42000000,Overseas
569,Monu Kumar,Bowler,2000000,Indian
570,Morne Morkel,Bowler,28000000,Overseas
572,Mujeeb Zadran,Bowler,15000000,Overseas
573,Mukesh Choudhary,Bowler,2000000,Indian
574,Munaf Patel,Bowler,3000000,Indian
575,Murali Kartik,Bowler,10000000,Indian
578,Murali Vijay,Batsman,20000000,Indian
579,Murugan Ashwin,Bowler,16000000,Indian
583,Mustafizur Rahman,Bowler,20000000,Overseas
584,Muthiah Muralidaran,Bowler,10000000,Overseas
585,Narayan Jagadeesan,Wicket Keeper,2000000,Indian
586,Narayan Jagadeesan,Wicket Keeper,2000000,Indian
587,Tilak Varma,All-Rounder,17000000,Indian
589,Naman Ojha,Wicket Keeper,14000000,Indian
596,Nathan Coulter-Nile,Bowler,20000000,Overseas
597,Nathan Ellis,Bowler,7500000,Overseas
598,Nathan McCullum,Bowler,7500000,Overseas
601,Nathu Singh,Bowler,2000000,Indian
604,Navdeep Saini,Bowler,26000000,Indian
605,Nic Maddinson,Batsman,5000000,Overseas
606,Nicholas Pooran,Wicket Keeper,107500000,Overseas
609,MD Nidheesh,Bowler,2000000,Indian
612,Nikhil Naik,Wicket Keeper,2000000,Indian
615,Nitish Rana,All-Rounder,80000000,Indian
616,Noor Ahmad,Bowler,3000000,Overseas
617,Obed McCoy,Bowler,7500000,Overseas
618,Odean Smith,All-Rounder,60000000,Overseas
620,Oshane Thomas,Bowler,5000000,Overseas
621,Pankaj Jaswal,All-Rounder,2000000,Overseas
622,Pankaj Singh,Bowler,11250000,Indian
623,Paras Dogra,Batsman,1000000,Indian
626,Pardeep Sahu,Bowler,2000000,Indian
628,Parthiv Patel,Wicket Keeper,17000000,Indian
629,Parvez Rasool,All-Rounder,9500000,Indian
630,Parvinder Awana,Bowler,6500000,Indian
633,Pat Cummins,All-Rounder,72500000,Overseas
637,Pavan Deshpande,All-Rounder,2000000,Indian
642,Pawan Negi,All-Rounder,5000000,Indian
644,Pawan Suyal,Bowler,1000000,Indian
645,Peter Handscomb,Wicket Keeper,3000000,Overseas
646,Phillip Hughes,Batsman,7500000,Overseas
650,Piyush Chawla,Bowler,24000000,Indian
653,Prabhsimran Singh,Wicket Keeper,6000000,Indian
656,Pradeep Sangwan,All-Rounder,2000000,Indian
658,Pragyan Ojha,Bowler,5000000,Indian
659,Padmanabhan Prasanth,All-Rounder,1000000,Indian
660,Prasanth Parameswaran,Bowler,3000000,Indian
661,Prashant Chopra,Wicket Keeper,2000000,Indian
662,Prashant Solanki,Bowler,12000000,Indian
663,Prasidh Krishna,Bowler,100000000,Indian
665,Pratham Singh,Batsman,2000000,Indian
667,Pratyush Singh,All-Rounder,1000000,Indian
669,Praveen Dubey,All-Rounder,1000000,Indian
671,Praveen Kumar,Bowler,35000000,Indian
672,Praveen Dubey,All-Rounder,5000000,Indian
676,Pravin Tambe,Bowler,2000000,Indian
677,Prayas Ray Barman,All-Rounder,15000000,Indian
678,Prerak Mankad,All-Rounder,2000000,Indian
679,Prince Balwant Rai,All-Rounder,2000000,Indian
